Shives,Fines B,L (arith),L (lw),L (llw),W (arith),W (lw),W (llw),C (arith),C (lw),C (llw),F (arith),F (lw),F (llw)
1.815,22.48,0.78995,1.5692,2.3011,19.564,28.357,33.237,0.12756,0.15411,0.15392,0.047752,0.061746,0.0597
1.935,22.17,0.8187,1.6246,2.3606,19.958,28.837,33.637,0.12439,0.14954,0.15039,0.048109,0.061159,0.058905
1.86,22.79,0.79817,1.5765,2.2921,19.758,28.419,33.088,0.12376,0.14859,0.14777,0.046337,0.059982,0.058276
1.965,22.37,0.77043,1.6024,2.35,18.616,28.514,33.797,0.12075,0.15316,0.15288,0.044259,0.05995,0.058418
2.005,22.17,0.81263,1.6098,2.3398,19.906,28.662,33.461,0.12896,0.15515,0.15608,0.046395,0.06006,0.058299
1.85,22.3,0.831,1.6199,2.3613,20.217,28.701,33.566,0.13028,0.15585,0.15746,0.049504,0.062005,0.059351
2.015,22.43,0.8011,1.6005,2.334,19.714,28.897,34.03,0.12456,0.15098,0.15027,0.047678,0.061063,0.058
1.93,22.54,0.80477,1.5985,2.3303,19.791,28.463,33.227,0.12728,0.15292,0.15371,0.048677,0.061872,0.058884
2.035,22.15,0.81581,1.6217,2.3648,20.028,28.817,33.689,0.12498,0.15078,0.15098,0.0481,0.06094,0.058085
1.3,22.23,0.75306,1.4532,2.1348,19.891,27.784,32.238,0.1274,0.15253,0.15208,0.048051,0.059907,0.057195
1.01,19.91,0.70865,1.3246,1.9713,19.747,27.098,31.758,0.12866,0.15648,0.16034,0.050242,0.061473,0.058852
1.01,20.37,0.70093,1.3199,1.9653,19.478,26.977,31.571,0.12372,0.15157,0.15458,0.04728,0.058802,0.056566
1.33,22.77,0.77447,1.4834,2.1745,20.0,27.874,32.448,0.13387,0.15999,0.1595,0.050146,0.062666,0.060842
1.67,22.74,0.79266,1.5529,2.2698,19.893,28.275,32.884,0.1274,0.15308,0.15477,0.048886,0.061585,0.059116
1.36,22.65,0.78565,1.4943,2.1857,20.292,28.241,32.951,0.13096,0.15498,0.15472,0.050278,0.061722,0.058853
1.15,21.23,0.68542,1.3501,2.0457,19.083,27.118,31.869,0.11947,0.14786,0.1497,0.04399,0.056623,0.055011
1.19,20.24,0.70475,1.3631,2.0327,19.476,27.212,31.724,0.12524,0.15538,0.15846,0.045489,0.058051,0.05641
1.66,22.44,0.80059,1.5779,2.2897,19.716,28.174,32.611,0.12891,0.15498,0.1546,0.047029,0.059889,0.057325
2.05,21.46,0.84791,1.6645,2.3827,20.319,29.137,33.919,0.12333,0.14585,0.14511,0.047516,0.059446,0.056804
0.98,21.7,0.78435,1.529,2.2646,19.747,28.018,32.948,0.14404,0.17372,0.1729,0.054924,0.069347,0.066396
1.05,22.05,0.80143,1.5806,2.3451,19.771,28.223,33.152,0.14515,0.17412,0.17393,0.052829,0.067095,0.064158
1.015,21.18,0.80617,1.5443,2.2541,20.122,28.193,32.97,0.143,0.16879,0.16437,0.053817,0.066558,0.062973
1.025,21.56,0.78277,1.5702,2.3836,19.475,27.858,32.735,0.13719,0.16806,0.17252,0.050894,0.065467,0.062985
1.05,21.11,0.80255,1.5583,2.2832,20.049,28.191,32.94,0.13919,0.16458,0.1626,0.052667,0.065928,0.062757
1.36,17.23,0.7837,1.5363,2.2535,19.673,27.999,32.736,0.13641,0.16332,0.16224,0.05129,0.063875,0.060214
1.345,15.76,0.77196,1.4997,2.2103,19.763,27.827,32.478,0.13622,0.16456,0.16393,0.050185,0.063399,0.06121
1.395,15.96,0.7583,1.4926,2.2125,19.593,27.8,32.446,0.13283,0.16172,0.16251,0.04984,0.063224,0.060631
1.29,17.5,0.80604,1.5501,2.2785,20.33,28.284,32.883,0.14087,0.16658,0.16623,0.054149,0.065832,0.062278
1.475,16.22,0.78073,1.5089,2.2237,19.993,28.055,32.749,0.13613,0.16292,0.16241,0.049837,0.062197,0.059384
1.765,14.8,0.77299,1.5513,2.3148,19.552,28.421,33.492,0.13497,0.16585,0.17025,0.050341,0.063611,0.059985
1.94,13.91,0.81701,1.5807,2.3103,20.611,28.686,33.179,0.1409,0.1649,0.16132,0.05229,0.062981,0.058525
1.695,14.98,0.78917,1.5874,2.3407,19.702,28.533,33.185,0.13181,0.15745,0.15576,0.048557,0.06103,0.057609
1.645,16.15,0.81349,1.5889,2.3228,20.184,28.282,32.693,0.13929,0.16671,0.16618,0.052523,0.064324,0.060743
2.205,12.39,0.80753,1.5593,2.2868,20.557,28.686,33.215,0.13687,0.15929,0.15722,0.052358,0.062893,0.058704
1.055,19.92,0.79317,1.5137,2.195,19.79,27.815,32.451,0.13359,0.15639,0.15436,0.048896,0.060734,0.057793
0.995,18.11,0.72478,1.4657,2.1896,18.853,27.648,32.758,0.12359,0.15547,0.15745,0.041618,0.055518,0.053722
1.125,17.16,0.79383,1.523,2.2216,19.941,27.952,32.483,0.13825,0.16244,0.1593,0.051264,0.063884,0.061442
1.075,18.5,0.77589,1.5038,2.1719,19.366,27.662,32.135,0.13597,0.16307,0.16164,0.049897,0.062854,0.059739
1.945,21.22,0.79319,1.5706,2.2949,19.977,28.687,33.656,0.12605,0.15353,0.15505,0.048003,0.062047,0.060465
1.945,21.32,0.76797,1.5338,2.2768,19.553,28.313,33.393,0.12759,0.1562,0.15668,0.045643,0.060106,0.059057
1.8,21.29,0.79526,1.5821,2.3429,19.96,28.716,33.813,0.12462,0.15098,0.15474,0.047498,0.060803,0.058651
1.43,21.88,0.80249,1.5789,2.3124,19.912,28.481,33.312,0.12852,0.15349,0.1539,0.050595,0.06402,0.061417
1.66,21.99,0.75963,1.5576,2.3111,19.154,28.285,33.318,0.12212,0.15305,0.1568,0.045898,0.061429,0.060128
1.755,21.48,0.79431,1.5793,2.3261,19.721,28.239,33.073,0.13138,0.15977,0.16433,0.049079,0.063299,0.062071
2.25,21.08,0.78054,1.5615,2.2953,19.635,28.5,33.61,0.12323,0.15254,0.15609,0.045216,0.0596,0.058286
2.32,20.58,0.75212,1.5219,2.2665,19.372,28.324,33.573,0.12425,0.15302,0.15512,0.046034,0.061272,0.060787
