CSF,Density,TI,Elongation,TEA,TSI,Tear index,s
253.0,313.0,28.2,1.77,0.33,2.97,6.9,41.7
264.5,316.5,28.39,1.775,0.335,2.985,7.055,41.78
242.5,324.5,29.57,1.81,0.355,3.06,7.09,42.65
260.0,320.5,27.51,1.685,0.31,3.045,7.26,42.0
245.0,320.0,28.03,1.71,0.31,3.1,7.1,41.78
262.5,321.0,28.51,1.735,0.335,3.02,7.265,42.2
256.5,323.5,28.05,1.71,0.32,3.08,7.185,41.9
258.0,323.0,27.86,1.7,0.315,3.06,7.195,41.95
268.0,325.0,27.76,1.755,0.33,3.04,6.9,41.5
197.8,329.3,27.72,1.779,0.332,3.048,6.371,45.33
192.0,352.1,27.19,1.712,0.311,3.059,5.723,47.73
181.5,361.9,28.03,1.727,0.323,3.131,5.855,48.05
197.0,342.8,30.13,1.817,0.368,3.235,6.721,45.88
224.5,329.8,29.73,1.727,0.342,3.203,7.211,43.2
202.0,343.0,29.61,1.786,0.355,3.219,6.879,45.5
192.0,347.8,27.27,1.783,0.329,3.05,5.948,47.0
193.0,357.9,27.14,1.728,0.316,3.083,6.111,47.78
229.5,326.4,29.1,1.831,0.357,3.081,7.272,43.48
268.5,302.3,25.52,1.715,0.29,2.751,6.94,41.05
183.0,362.0,34.38,1.915,0.45,3.695,7.465,47.45
197.5,355.0,31.64,1.83,0.39,3.46,7.215,47.35
189.5,359.5,33.07,1.855,0.415,3.58,7.585,47.3
190.5,360.0,32.86,1.905,0.42,3.475,7.305,47.05
194.0,364.0,32.93,1.875,0.415,3.52,7.37,47.25
234.5,341.0,28.05,1.75,0.33,3.12,7.16,45.95
235.0,352.0,28.58,1.66,0.315,3.245,6.945,47.05
260.0,350.0,27.99,1.665,0.315,3.21,6.475,47.4
225.5,355.5,30.52,1.71,0.345,3.36,6.93,47.25
253.0,345.5,28.38,1.685,0.325,3.225,6.61,46.35
303.0,336.0,25.54,1.53,0.26,3.04,6.19,45.2
327.0,336.5,24.54,1.555,0.25,2.915,6.225,44.6
294.5,338.5,27.21,1.63,0.295,3.11,6.545,45.15
280.0,350.0,28.15,1.68,0.315,3.18,6.83,45.35
306.5,339.0,24.89,1.56,0.27,2.95,6.055,44.9
190.0,372.0,34.22,1.8,0.415,3.74,7.443,46.6
194.0,375.0,33.78,1.83,0.41,3.67,7.51,47.2
193.5,375.5,33.85,1.81,0.405,3.685,7.74,47.05
202.5,381.0,33.46,1.905,0.43,3.59,7.54,46.45
262.0,332.5,27.86,1.755,0.325,3.06,7.175,43.2
269.5,329.0,26.85,1.705,0.305,2.96,6.88,43.0
259.0,340.0,28.5,1.76,0.34,3.165,7.16,42.8
213.5,347.5,31.23,1.85,0.385,3.26,7.345,44.5
235.0,333.0,28.99,1.775,0.345,3.155,7.255,43.5
244.0,329.0,27.16,1.78,0.325,2.95,6.92,43.1
285.5,330.5,26.04,1.68,0.29,2.925,6.75,42.0
295.0,326.5,25.84,1.75,0.305,2.845,6.435,41.85
