TS,CP,ADF,IVOMD
4.76,7.03,40.69,36.77
48.4,2.37,29.45,57.98
3.79,7.35,41.93,28.14
50.42,1.62,25.99,60.8
41.69,1.72,34.19,49.24
22.67,1.47,50.17,30.62
51.01,1.97,28.37,58.46
43.93,2.07,33.15,52.13
44.84,1.84,29.89,55.69
47.71,1.66,27.29,59.05
49.39,1.87,26.42,60.07
37.04,2.29,31.91,50.85
40.29,3.11,29.5,55.16
34.42,2.46,32.61,46.31
37.97,2.78,30.47,53.82
32.86,3.44,31.63,48.32
17.4,2.07,47.81,29.25
19.06,1.59,46.59,30.76
13.52,2.66,44.6,29.11
31.14,1.37,34.03,42.14
40.68,2.66,30.49,66.59
9.52,2.43,50.65,30.57
36.5,2.35,32.85,63.3
5.53,2.52,52.94,19.9
37.99,2.67,33.45,56.35
33.21,1.97,34.75,60.11
28.61,1.06,45.51,39.62
6.14,1.41,54.65,18.19
2.28,6.26,42.76,19.39
43.89,1.87,30.99,60.41
46.24,1.37,29.33,59.81
41.91,1.09,32.41,54.51
5.25,4.58,41.95,32.56
2.48,5.97,41.51,22.18
34.9,1.04,34.92,52.63
21.23,3.07,38.54,49.35
5.75,1.74,55.86,13.03
27.46,2.29,38.28,48.38
2.34,1.33,59.3,14.14
17.33,1.41,48.13,25.08
36.44,1.82,31.57,58.6
34.24,2.53,32.98,52.52
4.69,5.33,41.15,34.22
2.93,6.63,42.32,29.0
5.28,6.94,41.13,35.86
3.14,6.62,43.9,29.48
3.85,5.12,43.39,36.11
12.32,2.14,52.53,27.22
2.11,5.31,44.4,24.99
1.15,9.6,43.0,28.2
3.47,2.92,59.01,17.34
26.21,2.71,36.0,46.76
30.4,2.23,35.25,51.36
24.52,1.04,42.64,34.47
45.58,0.9,28.44,57.88
10.78,0.99,51.7,21.29
38.24,1.74,29.55,51.9
