n_components,predictor_rank,predictor_rank_policy,response_standardized_cv_mse_mean,response_standardized_cv_mse_fold_sd,n_splits
1,35,optimized,0.7409891291104651,0.34688052253290463,5
2,70,optimized,0.5451122203323037,0.20628428702495238,5
3,70,optimized,0.4707935997277577,0.21537094020523145,5
4,70,optimized,0.3418315627249182,0.13011733301236217,5
5,70,optimized,0.26459970771615343,0.10343098262102493,5
6,70,optimized,0.2250103388541227,0.09799004591717997,5
7,70,optimized,0.1884216347508984,0.06691639049052057,5
8,70,optimized,0.16290279058306262,0.06805638361765826,5
9,70,optimized,0.14649110286184083,0.07137860635643145,5
10,70,optimized,0.132003114521132,0.06034959941212758,5
11,70,optimized,0.12396146040524922,0.06205862113223339,5
12,70,optimized,0.12196823895202857,0.062022900364111615,5
13,70,optimized,0.12130780491992525,0.06247542181308943,5
