n_components,algorithm,response_standardized_cv_mse_mean,response_standardized_cv_mse_fold_sd,n_splits
1,NIPALS,1.073066828064452,0.4887335695965659,5
2,NIPALS,0.9700386182765361,0.6259899830546044,5
3,NIPALS,0.6760245454678766,0.3094169688779858,5
4,NIPALS,0.5662282745781054,0.22215573276109482,5
5,NIPALS,0.5515563512654419,0.2326074020504954,5
6,NIPALS,0.4654763103963829,0.15878907199263076,5
7,NIPALS,0.44314537722965913,0.1374038473222699,5
8,NIPALS,0.38775572891894067,0.10869265276096547,5
9,NIPALS,0.379496323448239,0.125486076866123,5
10,NIPALS,0.3425577392188907,0.10760464315003647,5
11,NIPALS,0.30769426174662895,0.08680676291364928,5
12,NIPALS,0.28157807620902797,0.08052329744285294,5
13,NIPALS,0.2659989666448281,0.0848400544698049,5
