response,predictor,coefficient
CSF,Shives,74.360103724812433
CSF,Fines B,-5.0540372088879275
CSF,L (arith),134.76069650596543
CSF,L (lw),33.260008240409228
CSF,L (llw),-50.076550991515887
CSF,W (arith),-14.974495870617336
CSF,W (lw),10.980784902891839
CSF,W (llw),6.3925162871087506
CSF,C (arith),-823.11132498661118
CSF,C (lw),85.512867218479656
CSF,C (llw),1572.3496839802624
CSF,F (arith),3257.8977188128888
CSF,F (lw),279.87452877782886
CSF,F (llw),-4977.8553418601659
Density,Shives,-35.38878237420866
Density,Fines B,-1.9190150321243409
Density,L (arith),8.4614598763483162
Density,L (lw),-21.551847984969804
Density,L (llw),-21.153738731762463
Density,W (arith),2.1623054681622369
Density,W (lw),-0.93374996094683449
Density,W (llw),5.3032789402565372
Density,C (arith),438.85732218544376
Density,C (lw),239.6294464653771
Density,C (llw),-239.56321602338062
Density,F (arith),-1387.9000569094351
Density,F (lw),-445.35596254623664
Density,F (llw),1448.2242961093978
TI,Shives,-7.158647846078237
TI,Fines B,-0.027303894110665052
TI,L (arith),46.114460026484267
TI,L (lw),6.7054054716790983
TI,L (llw),-6.9016838141481145
TI,W (arith),-1.111534404531028
TI,W (lw),-0.26803604903040384
TI,W (llw),0.86168654147885626
TI,C (arith),105.35888119196079
TI,C (lw),36.645266863398533
TI,C (llw),-137.80955616526344
TI,F (arith),-567.28426767901078
TI,F (lw),-145.62983787870994
TI,F (llw),660.48436503568996
Elongation,Shives,-0.18613370695530354
Elongation,Fines B,0.0116448532819525
Elongation,L (arith),0.99013616313383035
Elongation,L (lw),0.19038813724079739
Elongation,L (llw),-0.050737160553300478
Elongation,W (arith),-0.014660319479823856
Elongation,W (lw),-0.019240389917397866
Elongation,W (llw),-0.00145319157999103
Elongation,C (arith),2.6042041919637966
Elongation,C (lw),0.15157077978899394
Elongation,C (llw),-5.0353296041410616
Elongation,F (arith),-15.206523794488239
Elongation,F (lw),-2.892288022617826
Elongation,F (llw),19.795613914768328
TEA,Shives,-0.12665718956476824
TEA,Fines B,0.0013577806960062987
TEA,L (arith),0.78004676748850676
TEA,L (lw),0.12003635415595745
TEA,L (llw),-0.10233496803396235
TEA,W (arith),-0.017360496255672087
TEA,W (lw),-0.0065968655410104989
TEA,W (llw),0.011645408053237532
TEA,C (arith),1.8420285705826982
TEA,C (lw),0.52789096171098371
TEA,C (llw),-2.6502228886883001
TEA,F (arith),-10.079344559945836
TEA,F (lw),-2.435725825822538
TEA,F (llw),12.049364873227772
TSI,Shives,-0.65935985324658819
TSI,Fines B,-0.020303622819794569
TSI,L (arith),3.7571133301975834
TSI,L (lw),0.42853345629517969
TSI,L (llw),-0.72104452427697308
TSI,W (arith),-0.092105486285829236
TSI,W (lw),-0.011394496783890571
TSI,W (llw),0.1061089008048018
TSI,C (arith),9.5773453773866155
TSI,C (lw),4.3476060219623367
TSI,C (llw),-9.8672390288638354
TSI,F (arith),-47.314090358543901
TSI,F (lw),-13.421908817777485
TSI,F (llw),52.502312846769996
Tear index,Shives,-0.95766332038172586
Tear index,Fines B,-0.0015478620537256759
Tear index,L (arith),13.879150581882048
Tear index,L (lw),2.524902708741112
Tear index,L (llw),-1.8801948373825812
Tear index,W (arith),-0.44762227786981623
Tear index,W (lw),0.0048857927046274709
Tear index,W (llw),0.18571560894808328
Tear index,C (arith),17.220949002716086
Tear index,C (lw),6.5412053544920097
Tear index,C (llw),-25.881032769688417
Tear index,F (arith),-117.86674189314218
Tear index,F (lw),-31.853774506957482
Tear index,F (llw),133.42364517938208
s,Shives,-4.4542312721391442
s,Fines B,-0.27827072275514125
s,L (arith),-5.6767373646893153
s,L (lw),-4.3051374645458411
s,L (llw),-2.1147648153625709
s,W (arith),0.51627480837861928
s,W (lw),-0.121759332979019
s,W (llw),0.66761088675309777
s,C (arith),52.645475872975467
s,C (lw),30.855700478798525
s,C (llw),-18.993317225534565
s,F (arith),-133.50353623942394
s,F (lw),-46.808664668954648
s,F (llw),132.07164871087818
