predictor,component,p,component_sign
Shives,1,0.69083750998970717,-1
Fines B,1,0.0016147117637092612,-1
L (arith),1,-0.33975743582109219,-1
L (lw),1,-0.10804042474061232,-1
L (llw),1,0.14813572816597484,-1
W (arith),1,0.088245025998929902,-1
W (lw),1,0.036334344264112223,-1
W (llw),1,-0.11197847957549871,-1
C (arith),1,-0.16691895908557688,-1
C (lw),1,-0.055409000980029287,-1
C (llw),1,0.21379714408683931,-1
F (arith),1,0.37208117904802618,-1
F (lw),1,0.086507460460035615,-1
F (llw),1,-0.35982367384707536,-1
Shives,2,0.55143481441882258,1
Fines B,2,0.1537703554454021,1
L (arith),2,0.61572546573450559,1
L (lw),2,0.35046238153987663,1
L (llw),2,-0.16887366224593631,1
W (arith),2,-0.31962619665417519,1
W (lw),2,0.075606677544953732,1
W (llw),2,0.0044379783418722557,1
C (arith),2,-0.06286464454156189,1
C (lw),2,-0.026003753820435016,1
C (llw),2,-0.035337556085569412,1
F (arith),2,-0.125511142373646,1
F (lw),2,-0.035783656414300646,1
F (llw),2,0.10491372614140755,1
Shives,3,-0.0097487251899245828,-1
Fines B,3,0.81181809127174609,-1
L (arith),3,-0.1218424313109155,-1
L (lw),3,0.048495996427888162,-1
L (llw),3,0.28633234824648413,-1
W (arith),3,0.11233610720737711,-1
W (lw),3,-0.13728996563349702,-1
W (llw),3,-0.32886688459444657,-1
C (arith),3,-0.015870124537654032,-1
C (lw),3,-0.1249646410235869,-1
C (llw),3,-0.23210964881343379,-1
F (arith),3,-0.053497622049462845,-1
F (lw),3,0.0489603605682601,-1
F (llw),3,0.16446673924904351,-1
