response,component,q,dilation,weighted_q,component_sign
CSF,1,0.19484167337136221,3.7174423356523318,0.72431268534004545,-1
Density,1,-0.20990621537463622,3.7174423356523318,-0.78031425155022904,-1
TI,1,-0.44740384829655927,3.7174423356523318,-1.6631980067914029,-1
Elongation,1,-0.3425257724128668,3.7174423356523318,-1.2733198074196066,-1
TEA,1,-0.4432889349069416,3.7174423356523318,-1.6479010535492955,-1
TSI,1,-0.41915171927654876,3.7174423356523318,-1.558172346300104,-1
Tear index,1,-0.4395857605957138,3.7174423356523318,-1.634134716588437,-1
s,1,-0.18722475884725753,3.7174423356523318,-0.6959972448210936,-1
CSF,2,0.44427481115815259,1.0871549752681207,0.48299557133689036,1
Density,2,-0.42286177285696869,1.0871549752681207,-0.45971628021215144,1
TI,2,0.049866314106914535,1.0871549752681207,0.054212411479615009,1
Elongation,2,0.019284753770018381,1.0871549752681207,0.020965516007896128,1
TEA,2,0.040693537168907085,1.0871549752681207,0.044240181394435529,1
TSI,2,-0.052859436777818299,1.0871549752681207,-0.057466399682875841,1
Tear index,2,0.57166680312322227,1.0871549752681207,0.62149040921103227,1
s,2,-0.53823437682775277,1.0871549752681207,-0.58514418062862794,1
CSF,3,-0.60939798531482436,0.88771278582363877,-0.5409703832191356,-1
Density,3,-0.31216585155656568,0.88771278582363877,-0.27711361772428739,-1
TI,3,-0.04888345347483692,0.88771278582363877,-0.04339446666482772,-1
Elongation,3,0.52351444680565318,0.88771278582363877,0.46473046799276752,-1
TEA,3,0.10922693663212135,0.88771278582363877,0.096962148204682505,-1
TSI,3,-0.31167658724875846,0.88771278582363877,-0.27667929154259979,-1
Tear index,3,-0.14115282708448115,0.88771278582363877,-0.12530316935804714,-1
s,3,-0.35458802751831592,0.88771278582363877,-0.3147723257279933,-1
