predictor,component,loading
Shives,1,-0.96286593279167032
Fines B,1,0.11991634143708095
L (arith),1,0.7859206952989416
L (lw),1,0.70938461662111485
L (llw),1,0.67830035313025749
W (arith),1,-0.084422652941088749
W (lw),1,0.15505702707064059
W (llw),1,0.16136415419240699
C (arith),1,1.0687923034698461
C (lw),1,1.0663029066108156
C (llw),1,0.81966870028087302
F (arith),1,0.74395927287315855
F (lw),1,1.0570077631852723
F (llw),1,1.0503783088124719
Shives,2,0.52494059064045362
Fines B,2,0.11895774662292366
L (arith),2,0.77906717695713656
L (lw),2,0.90603048067085612
L (llw),2,0.87260290121641026
W (arith),2,0.12046458386534248
W (lw),2,0.81318575908629331
W (llw),2,0.7951333547487216
C (arith),2,0.031716967215954295
C (lw),2,-0.021870875866983941
C (llw),2,-0.10808365057107311
F (arith),2,0.0082727455722634291
F (lw),2,0.18707700918465098
F (llw),2,0.20213555131175065
Shives,3,0.038959909206497556
Fines B,3,-0.9929444615107168
L (arith),3,0.40507620445485043
L (lw),3,0.38613487484087572
L (llw),3,0.40821326432929006
W (arith),3,0.2430572052404304
W (lw),3,0.30680662165641809
W (llw),3,0.23220383356901628
C (arith),3,0.70525624264437026
C (lw),3,0.69733092130622532
C (llw),3,0.57477574724976643
F (arith),3,0.49095977408267499
F (lw),3,0.46283126324612645
F (llw),3,0.28423026264579965
