response,component,loading
CSF,1,-0.21524839284520333
Density,1,0.26791013726848073
TI,1,0.4543489256353816
Elongation,1,0.32317366826990374
TEA,1,0.42705254509233703
TSI,1,0.4315167353213486
Tear index,1,0.44199259218424436
s,1,0.12487436377448996
CSF,2,0.41917627840506533
Density,2,-0.3731089692326876
TI,2,0.051719353166523527
Elongation,2,-0.00047934391270923471
TEA,2,0.019562383044592346
TSI,2,-0.044504189744997993
Tear index,2,0.58454550620212542
s,2,-0.58731554917905071
CSF,3,0.53932867736794776
Density,3,0.39163825960191101
TI,3,0.066661980992289316
Elongation,3,-0.59174801844387381
TEA,3,-0.15303120771442211
TSI,3,0.35143712057415077
Tear index,3,0.15972074333279745
s,3,0.24602045690200777
