response,predictor,coefficient
TS,780,-2.2954587528034054
TS,781,-2.3258005660959236
TS,782,-2.3489275199698056
TS,783,-2.3101971509930124
TS,784,-2.311672832740205
TS,785,-2.3263546200191056
TS,786,-2.2846363617332792
TS,787,-2.3330427537224172
TS,788,-2.3141102823572393
TS,789,-2.3150441488242595
TS,790,-2.293673714941086
TS,791,-2.2863026798435873
TS,792,-2.2844984633557335
TS,793,-2.2738724156966899
TS,794,-2.2456913270584087
TS,795,-2.2285874222352251
TS,796,-2.2711635161007324
TS,797,-2.2166474818205524
TS,798,-2.1900424726344325
TS,799,-2.1695973434826232
TS,800,-2.1693944291515379
TS,801,-2.1930005924930263
TS,802,-2.1684594170084219
TS,803,-2.135325294515416
TS,804,-2.129951030132665
TS,805,-2.0776496888888927
TS,806,-2.097256562018385
TS,807,-2.0588122783525691
TS,808,-2.0236343962808743
TS,809,-2.0023985412322141
TS,810,-2.0018717201633813
TS,811,-1.9626681049631307
TS,812,-1.9528406928843756
TS,813,-1.9426592011506896
TS,814,-1.9068591658907854
TS,815,-1.8788383572904652
TS,816,-1.848184178686556
TS,817,-1.8050891178582471
TS,818,-1.7579558998440441
TS,819,-1.7340442414898833
TS,820,-1.714454138567244
TS,821,-1.7045443129094595
TS,822,-1.6830877342018786
TS,823,-1.6369151417557173
TS,824,-1.6422874123697186
TS,825,-1.5632061870482779
TS,826,-1.5241794253991503
TS,827,-1.5077769052771004
TS,828,-1.4498655164106988
TS,829,-1.4506412067669774
TS,830,-1.427484412038037
TS,831,-1.2977407075119696
TS,832,-1.278060573660414
TS,833,-1.2415573935043529
TS,834,-1.2556464507741043
TS,835,-1.2203518365824906
TS,836,-1.1635289860089228
TS,837,-1.1407004497993125
TS,838,-1.0650169179261366
TS,839,-1.0786092507578451
TS,840,-1.0300225905666427
TS,841,-0.98794950648845081
TS,842,-0.96271425788527631
TS,843,-0.92825765672345251
TS,844,-0.86040925674134072
TS,845,-0.81394186466085083
TS,846,-0.78589707851394119
TS,847,-0.72764514065722308
TS,848,-0.73658671781633644
TS,849,-0.67970196797502624
TS,850,-0.65973415258592505
TS,851,-0.57562806867498062
TS,852,-0.5578107394411409
TS,853,-0.52328605294930974
TS,854,-0.47217314075084016
TS,855,-0.43919907489466092
TS,856,-0.35570828428945256
TS,857,-0.35953948388820639
TS,858,-0.31758530277203112
TS,859,-0.26826371167298896
TS,860,-0.23654790500279377
TS,861,-0.16309321650011593
TS,862,-0.16316873620192729
TS,863,-0.12681555523817731
TS,864,-0.070041144546321252
TS,865,-0.068537241424037082
TS,866,-0.078530311715711704
TS,867,0.011264937171849055
TS,868,0.057295587407046385
TS,869,0.12685037504649946
TS,870,0.13106484206051447
TS,871,0.19897633680483257
TS,872,0.22387765589838798
TS,873,0.27251105604950537
TS,874,0.35242727125374645
TS,875,0.39545558001925052
TS,876,0.38674946940507987
TS,877,0.49001908473765254
TS,878,0.58612903263048421
TS,879,0.60111312472480338
TS,880,0.59333549534656371
TS,881,0.69396951833244891
TS,882,0.69996542375531801
TS,883,0.78464613317151044
TS,884,0.83643090483126858
TS,885,0.83841999678321344
TS,886,0.94182225323140423
TS,887,0.96136492314401756
TS,888,0.96090781714804696
TS,889,1.1231791572959466
TS,890,1.1912257275468248
TS,891,1.2151732559143051
TS,892,1.2821783121279204
TS,893,1.3584748283199777
TS,894,1.3783723503808345
TS,895,1.4465335361004643
TS,896,1.5332194936085894
TS,897,1.6185500304744127
TS,898,1.6771294194505337
TS,899,1.7277463733360576
TS,900,1.799096929678446
TS,901,1.954288035858643
TS,902,1.9437395288756119
TS,903,1.9611106963392639
TS,904,2.0546348531673719
TS,905,2.1264282479883256
TS,906,2.1535266442577092
TS,907,2.1892008099850977
TS,908,2.222170552773453
TS,909,2.3280558464290357
TS,910,2.4081881052492755
TS,911,2.4568498159241701
TS,912,2.5714545460021365
TS,913,2.6303144232285507
TS,914,2.6792662455967644
TS,915,2.7638031859563812
TS,916,2.7544807288518536
TS,917,2.823618010098766
TS,918,2.8874635992457782
TS,919,2.8332851647368624
TS,920,2.8664802663279172
TS,921,2.8836597391658971
TS,922,2.9450400802168226
TS,923,2.9615678426471339
TS,924,2.9479906968913183
TS,925,3.0156783947817076
TS,926,3.0117480610507701
TS,927,3.0014998546835052
TS,928,3.0215319550255528
TS,929,3.0675301071020398
TS,930,3.0187996264108454
TS,931,2.9426306099071859
TS,932,2.983402915089318
TS,933,3.0187326123856728
TS,934,3.0567945877592146
TS,935,3.0027631535523658
TS,936,3.0074850991140352
TS,937,2.9994219029036997
TS,938,3.0129260439577155
TS,939,3.012283266963574
TS,940,3.0258769475879719
TS,941,2.9791515505353279
TS,942,3.0575468741726635
TS,943,3.0617004984817986
TS,944,3.0686874096891645
TS,945,3.009367129933092
TS,946,3.1487262109103988
TS,947,3.1784124541629262
TS,948,3.2877896884075803
TS,949,3.3198953768514401
TS,950,3.3449516712958589
TS,951,3.2932139154082183
TS,952,3.4142619056704739
TS,953,3.4116815045833904
TS,954,3.4826841143995066
TS,955,3.5366661724580193
TS,956,3.5683246331912639
TS,957,3.6268736120507246
TS,958,3.6736785901526443
TS,959,3.6918876689310456
TS,960,3.8258065217018831
TS,961,3.7710079331370383
TS,962,3.8165990614713494
TS,963,3.8860637757151082
TS,964,3.9153218411151554
TS,965,4.0578446236930015
TS,966,4.2398611027402815
TS,967,4.3774313032397325
TS,968,4.4653053386576174
TS,969,4.6409001299100456
TS,970,4.8237747021086728
TS,971,5.1545680238459965
TS,972,5.3934348865307662
TS,973,5.7476313744492096
TS,974,6.0887539782099909
TS,975,6.371643979046917
TS,976,6.9974871020672866
TS,977,7.2634970874837688
TS,978,7.6700957929994846
TS,979,8.1999693729498606
TS,980,8.4564817556992722
TS,981,8.679255921949057
TS,982,8.7793661918060195
TS,983,8.8756585626339461
TS,984,8.7260686160650032
TS,985,8.7116724088695658
TS,986,8.5432901574397722
TS,987,8.1548599370114214
TS,988,7.9633000168506314
TS,989,7.5508006494294309
TS,990,7.1195334196841618
TS,991,6.9283287405730301
TS,992,6.6867650782123444
