predictor,component,p,component_sign
780,1,0.055132813631688198,-1
781,1,0.052654646067167347,-1
782,1,0.050288551692275973,-1
783,1,0.048212921060758328,-1
784,1,0.046292889209884204,-1
785,1,0.04403848666830032,-1
786,1,0.042190222885583814,-1
787,1,0.040186339600467164,-1
788,1,0.038403110504816707,-1
789,1,0.036992202431654575,-1
790,1,0.034973465063419924,-1
791,1,0.03380721501524523,-1
792,1,0.03237091797447713,-1
793,1,0.030872745697058942,-1
794,1,0.029409197557745889,-1
795,1,0.028062149152938729,-1
796,1,0.026651314941705407,-1
797,1,0.025961653759112947,-1
798,1,0.02425528820530732,-1
799,1,0.02305870050991311,-1
800,1,0.021979415371083433,-1
801,1,0.020698529584743455,-1
802,1,0.019412377081559105,-1
803,1,0.018922566572744246,-1
804,1,0.017843260664990292,-1
805,1,0.016430121465281656,-1
806,1,0.015317570110036899,-1
807,1,0.014770719208698288,-1
808,1,0.013994467960405009,-1
809,1,0.012833784778985243,-1
810,1,0.012029031694745134,-1
811,1,0.011395615382816353,-1
812,1,0.010246545068553908,-1
813,1,0.0090520551476658464,-1
814,1,0.0087324129579615817,-1
815,1,0.0081824383626257959,-1
816,1,0.0072617274472009134,-1
817,1,0.0062024773094913064,-1
818,1,0.0062116028363515359,-1
819,1,0.0053434227402742321,-1
820,1,0.0045285954122220367,-1
821,1,0.0033833561168304018,-1
822,1,0.0028799516575790519,-1
823,1,0.0026043358900106205,-1
824,1,0.0016374107767571119,-1
825,1,0.0012832334089670173,-1
826,1,0.0010905351086720838,-1
827,1,0.00059031037654093974,-1
828,1,-0.00048103937322061939,-1
829,1,-0.00062385356721118747,-1
830,1,-0.0010816366695703841,-1
831,1,-0.0011893227525507487,-1
832,1,-0.002080240392870661,-1
833,1,-0.0021733820247676378,-1
834,1,-0.0026995268558676418,-1
835,1,-0.0032965655894977965,-1
836,1,-0.0039409164364428073,-1
837,1,-0.0043522367537634022,-1
838,1,-0.0042191719034577347,-1
839,1,-0.0043040091043642092,-1
840,1,-0.0052151900316883201,-1
841,1,-0.0057855845813012579,-1
842,1,-0.0057093236020946169,-1
843,1,-0.0055750161654029027,-1
844,1,-0.0061362331691293785,-1
845,1,-0.0065861670950993273,-1
846,1,-0.0063032390780950274,-1
847,1,-0.0067591779635992107,-1
848,1,-0.0070394272819219138,-1
849,1,-0.0074389090453564795,-1
850,1,-0.0074824003538277485,-1
851,1,-0.0069896542453114739,-1
