predictor,component,loading
780,1,-0.70654083416643687
781,1,-0.70405128993116772
782,1,-0.70143783665160442
783,1,-0.69937838578637523
784,1,-0.697185079894999
785,1,-0.6949605616259622
786,1,-0.69295966027536959
787,1,-0.69100063899244502
788,1,-0.68928986353357746
789,1,-0.68753125729452125
790,1,-0.68568807627367401
791,1,-0.68421955279096325
792,1,-0.68272675061899957
793,1,-0.68120882677446926
794,1,-0.67972354341861452
795,1,-0.67838368552715278
796,1,-0.67703545148053423
797,1,-0.67583643811312233
798,1,-0.67453155593981684
799,1,-0.67328430418685414
800,1,-0.67202785244298291
801,1,-0.6708007391675892
802,1,-0.66957643345868822
803,1,-0.66873491686445485
804,1,-0.66760311672465611
805,1,-0.6664671702530941
806,1,-0.66540973602627318
807,1,-0.66467647798548091
808,1,-0.66349658685033297
809,1,-0.66256345356728397
810,1,-0.6618442822620868
811,1,-0.66090732415214126
812,1,-0.65977539255122375
813,1,-0.65890426036184202
814,1,-0.65821185992941678
815,1,-0.65739641224646284
816,1,-0.6565526050627557
817,1,-0.65572287457204881
818,1,-0.65538017073520305
819,1,-0.65428120497919107
820,1,-0.65358306831970292
821,1,-0.65275308440351798
822,1,-0.65220830418319808
823,1,-0.65158890488020416
824,1,-0.65062557342649874
825,1,-0.65029219975067132
826,1,-0.64980341345189063
827,1,-0.64897522376060901
828,1,-0.64840340518772122
829,1,-0.64798433636413411
830,1,-0.64733209969503647
831,1,-0.64680314710600284
832,1,-0.64627042474857344
833,1,-0.64578323235307522
834,1,-0.64541206226669778
835,1,-0.64465711902359324
836,1,-0.64404635395654442
837,1,-0.64377235068478411
838,1,-0.64337148428510793
839,1,-0.64298795950939769
840,1,-0.64231758620222246
841,1,-0.64189456752505503
842,1,-0.64179949592621821
843,1,-0.64141868392279122
844,1,-0.6410353529640862
845,1,-0.64063844829830974
846,1,-0.64052255323289031
847,1,-0.64001870941775951
848,1,-0.63964587903854819
849,1,-0.63924773549003289
850,1,-0.63931984769010763
851,1,-0.63909200471246386
852,1,-0.63856035347673235
853,1,-0.63827039494213034
854,1,-0.63804358203719691
855,1,-0.63779351863973166
856,1,-0.63735150134683638
857,1,-0.63699346354413111
858,1,-0.63655132479061516
859,1,-0.63662989662148939
860,1,-0.6361717402155973
861,1,-0.63585571088280968
862,1,-0.63575354519396987
863,1,-0.63545995812774647
864,1,-0.63537493020573599
865,1,-0.6349655683963269
866,1,-0.63456343866747145
867,1,-0.63442384807589458
868,1,-0.63417826293242685
869,1,-0.63412448511816089
870,1,-0.63399059359653565
871,1,-0.6335889087169746
872,1,-0.63341500376476056
873,1,-0.63341556896421269
874,1,-0.63331369461968323
875,1,-0.6333023280989708
876,1,-0.63287540171785095
877,1,-0.63279824932866413
878,1,-0.63282404163055195
879,1,-0.63262856463453099
880,1,-0.6323856768842383
881,1,-0.63195659434788998
882,1,-0.63178086866496097
883,1,-0.63165794325565217
884,1,-0.6317018774811648
885,1,-0.63128497268584038
886,1,-0.63087400438355268
887,1,-0.63093361146280713
888,1,-0.63055515317210764
889,1,-0.6303807545089547
890,1,-0.6299623020773687
891,1,-0.62976349726851044
892,1,-0.6298617753668615
893,1,-0.62949752198612063
894,1,-0.62914491380726245
895,1,-0.6289514674464235
896,1,-0.62873245234391217
897,1,-0.62831703876540346
898,1,-0.6279148256220648
899,1,-0.62790409619180154
900,1,-0.62731929944216569
901,1,-0.62746499816088819
902,1,-0.62702823613336733
903,1,-0.626543243716431
904,1,-0.62636167310524515
905,1,-0.62639319808231098
906,1,-0.62566785484725507
907,1,-0.62554557252362109
908,1,-0.62482533040600297
909,1,-0.62505638340342884
910,1,-0.62448612193333142
911,1,-0.62420975162195791
912,1,-0.62421240697461755
913,1,-0.62364258259555239
914,1,-0.62335992899444048
915,1,-0.62317693159859222
916,1,-0.62263350601046019
917,1,-0.62249788829743646
918,1,-0.6223449718138977
919,1,-0.62177298818175708
920,1,-0.62134109066188525
921,1,-0.62143305550797789
922,1,-0.62153428176023984
923,1,-0.62122030345783319
924,1,-0.62055945867708817
925,1,-0.62054522385308064
926,1,-0.62072579093807834
927,1,-0.61986545387656422
928,1,-0.61968894863221224
929,1,-0.6194516333543344
930,1,-0.61943657054612233
931,1,-0.61887230593480591
932,1,-0.61894259025468279
933,1,-0.61862500876056603
934,1,-0.61836087364155479
935,1,-0.618158129791884
936,1,-0.61800820001804324
937,1,-0.61773065546458183
938,1,-0.6173796411854513
939,1,-0.61695563695530764
940,1,-0.61671798698608915
941,1,-0.61636184309044906
942,1,-0.61614637611225864
943,1,-0.61612844925599441
944,1,-0.61594212802121928
945,1,-0.61559160373355859
946,1,-0.61529626525254399
947,1,-0.61529339980143094
948,1,-0.61511630073231283
949,1,-0.61477168970390028
950,1,-0.61445457844974427
951,1,-0.61422847270295977
952,1,-0.61412663465416428
953,1,-0.6137655794442386
954,1,-0.61315736973928237
955,1,-0.61336247934852717
956,1,-0.6126390439938969
957,1,-0.61251657919742808
958,1,-0.61165626709526411
959,1,-0.61154002844401523
960,1,-0.61081449416271927
961,1,-0.61020090884544598
962,1,-0.60996131581293067
963,1,-0.60926048941395639
964,1,-0.60850068292091353
965,1,-0.60807613662456206
966,1,-0.60815190699755128
967,1,-0.60723578002758094
968,1,-0.60667362265212577
969,1,-0.60595615263224101
970,1,-0.60548337197584035
971,1,-0.6052559193118433
972,1,-0.60525172200352828
973,1,-0.60478411232309781
974,1,-0.60407755054685408
975,1,-0.60376500619402618
976,1,-0.60390176355137093
977,1,-0.60363477546914102
978,1,-0.60375019313594014
979,1,-0.60361691894294933
980,1,-0.60316526446870966
981,1,-0.60274982069483207
982,1,-0.60193516905719013
983,1,-0.60166469923844368
984,1,-0.60105352008303348
985,1,-0.60070424479403606
986,1,-0.59997940470059741
987,1,-0.59927798040735369
988,1,-0.59880887427719587
989,1,-0.59788253258172408
990,1,-0.59651853526486354
991,1,-0.59657995594764224
992,1,-0.59577106075199004
993,1,-0.59504448343514715
994,1,-0.59492200021870834
995,1,-0.59431579215137242
996,1,-0.59426603141521905
997,1,-0.59403467628233197
998,1,-0.59345138684839538
999,1,-0.59367061756566464
1000,1,-0.59353017254447715
1001,1,-0.58521123988285495
1002,1,-0.58479021388706487
1003,1,-0.58516025629551005
1004,1,-0.58480537423143408
1005,1,-0.5849455039497834
1006,1,-0.5846887166623933
1007,1,-0.58499027239841483
1008,1,-0.58492573991004471
1009,1,-0.58529126070383786
1010,1,-0.58525854451143255
1011,1,-0.58485698190412416
1012,1,-0.58489385013303763
1013,1,-0.5847908786234669
1014,1,-0.5853650623724258
1015,1,-0.58555694296799732
1016,1,-0.58558886676182298
1017,1,-0.585530267153343
1018,1,-0.58542687040329355
1019,1,-0.58530993689357746
1020,1,-0.58554732095624451
1021,1,-0.58600255454306305
1022,1,-0.58635901755474928
1023,1,-0.58649178077119968
1024,1,-0.5859902362187317
1025,1,-0.58632921380642322
1026,1,-0.58648809148404446
1027,1,-0.58679650147307905
