sample,component,score
1,1,-0.16607673670924633
2,1,-0.9369711011028643
3,1,-0.042820992049287576
4,1,-0.98994545296863379
5,1,-0.39293117785126813
6,1,0.85816245954413006
7,1,-0.74591031518418438
8,1,-0.55801383101905921
9,1,-0.74444276111364194
10,1,-0.90687800414318387
11,1,-1.1170900709742702
12,1,-0.18218679177141062
13,1,-0.81535161838569448
14,1,-0.21263801164557694
15,1,-0.62461711393924413
16,1,-0.31789025144951522
17,1,0.57539777414927185
18,1,0.6366650691549931
19,1,0.45211945920660684
20,1,0.34721592193248629
21,1,-0.95177813427701463
22,1,0.72450681243578208
23,1,-0.54512940403695065
24,1,1.3341263027066836
25,1,-0.55143974559203934
26,1,-0.34491547037568376
27,1,0.4972856746923614
28,1,1.1374866531076817
29,1,0.047544778336040538
30,1,-0.73099071828810436
31,1,-0.69913493704510876
32,1,-0.043270439970960251
33,1,0.22806851101955106
34,1,0.11808116524536005
35,1,0.061142136718691009
36,1,-0.18701716067694857
37,1,1.5516935471183624
38,1,-0.11098856299428433
39,1,1.8574532225220082
40,1,0.82753676779750429
41,1,-0.55360066649647688
42,1,-0.50034281738948982
43,1,-0.14091311987404964
44,1,0.024388090459352196
45,1,-0.36275293210164694
46,1,-0.079296695832895114
47,1,-0.053501693043248477
48,1,1.207357392753591
49,1,0.13929019890249628
50,1,-0.42535015389076336
51,1,1.563285587053874
52,1,-0.12561720177118607
53,1,-0.52203505583332654
54,1,0.60437035622529045
55,1,-0.27046223883749076
56,1,1.6025213690095192
57,1,-0.44339787145694087
1,2,-2.9298252326393159
2,2,2.1154684740742686
3,2,-3.2868016055511369
4,2,3.1394248981193726
5,2,1.4877349189510709
6,2,-0.071367560197335811
7,2,1.9223367752683043
8,2,2.0293177847211146
9,2,2.340418177851233
10,2,2.0835742095051764
11,2,2.9984561545518553
12,2,1.5701547237784723
13,2,1.2492830851156911
14,2,0.79738764214767044
15,2,1.2574261865433787
16,2,0.26755979922253254
17,2,-0.36943142996896117
18,2,-0.32391302724618232
19,2,-1.2837078244491802
20,2,0.98716699765954941
21,2,1.8907166280003271
22,2,-1.2844253348066861
23,2,1.5431971259683892
24,2,-2.0414871818432907
25,2,1.818553623180001
26,2,0.83940352315613487
27,2,1.120406141672367
28,2,-1.28670724798712
29,2,-3.2474437490667096
30,2,2.5588012931517752
31,2,2.5179134919976809
32,2,2.1252085934362146
33,2,-2.5987181911389055
34,2,-3.3679578310398242
35,2,1.2589697353062448
36,2,0.072353783476295952
37,2,-1.6845573507621909
38,2,0.49268636215001327
39,2,-1.6762663495466841
40,2,-0.38241928845842377
41,2,1.4800509019604564
42,2,1.2448942778145553
43,2,-2.6681575582062669
44,2,-2.9618994074109075
45,2,-2.8955700415662076
46,2,-2.3838205434059789
47,2,-1.9370055844520231
48,2,-1.0376648886199589
49,2,-2.4745115492586489
50,2,-3.9408404110374864
51,2,-1.4949678613665094
52,2,0.34840272434980957
53,2,0.026102069072313272
54,2,0.3338877181785026
55,2,2.5327691982976899
56,2,-0.53862792974858076
57,2,1.7180679610960725
