response,predictor,coefficient
Total Alkaloids,10001.0283203125,-35.085837119792409
Total Alkaloids,9997.17138687565,-14.215114527982033
Total Alkaloids,9993.31445343881,-4.0137948942697017
Total Alkaloids,9989.45752000196,-19.335594544396869
Total Alkaloids,9985.60058656511,-21.777189379689386
Total Alkaloids,9981.74365312826,-0.91817196147575419
Total Alkaloids,9977.88671969142,17.564316040334329
Total Alkaloids,9974.02978625457,3.3779620467510232
Total Alkaloids,9970.17285281772,-11.434452479673922
Total Alkaloids,9966.31591938088,-4.3791806096390893
Total Alkaloids,9962.45898594403,13.23301299717178
Total Alkaloids,9958.60205250718,15.499795049050096
Total Alkaloids,9954.74511907033,-3.8072414352388964
Total Alkaloids,9950.88818563349,-26.121002290545011
Total Alkaloids,9947.03125219664,-33.940087844656048
Total Alkaloids,9943.17431875979,-41.358396202566567
Total Alkaloids,9939.31738532294,-19.557007265699045
Total Alkaloids,9935.4604518861,-8.0840426034726587
Total Alkaloids,9931.60351844925,-29.415191515088029
Total Alkaloids,9927.7465850124,-16.550164876593279
Total Alkaloids,9923.88965157556,11.129901803668117
Total Alkaloids,9920.03271813871,9.0157301023060032
Total Alkaloids,9916.17578470186,-1.4323989970397952
Total Alkaloids,9912.31885126501,-5.1714340417563136
Total Alkaloids,9908.46191782817,-1.8774471338073884
Total Alkaloids,9904.60498439132,9.0890314576040776
Total Alkaloids,9900.74805095447,9.5090623142333861
Total Alkaloids,9896.89111751762,11.778356583597565
Total Alkaloids,9893.03418408078,6.3699990772527348
Total Alkaloids,9889.17725064393,-1.4108792714669265
Total Alkaloids,9885.32031720708,-1.025588150551896
Total Alkaloids,9881.46338377024,6.2909277100240413
Total Alkaloids,9877.60645033339,-5.1912835806986681
Total Alkaloids,9873.74951689654,3.4694023457559813
Total Alkaloids,9869.89258345969,18.284846026856616
Total Alkaloids,9866.03565002284,10.756222042845939
Total Alkaloids,9862.178716586,-2.9980086585674943
Total Alkaloids,9858.32178314915,-4.9532369404641523
Total Alkaloids,9854.4648497123,-2.3109338415237528
Total Alkaloids,9850.60791627546,1.0639194562754428
Total Alkaloids,9846.75098283861,0.54186629361773075
Total Alkaloids,9842.89404940176,-7.5888672693115726
Total Alkaloids,9839.03711596492,-7.7596302244585198
Total Alkaloids,9835.18018252807,1.4147264242296407
Total Alkaloids,9831.32324909122,6.4298577892932842
Total Alkaloids,9827.46631565437,14.8229289779825
Total Alkaloids,9823.60938221752,11.128127248934968
Total Alkaloids,9819.75244878068,2.6922502954251581
Total Alkaloids,9815.89551534383,10.865137619652092
Total Alkaloids,9812.03858190698,9.4757190751667881
Total Alkaloids,9808.18164847014,6.1026070444774323
Total Alkaloids,9804.32471503329,9.8050463789077362
Total Alkaloids,9800.46778159644,-8.9374508443224023
Total Alkaloids,9796.6108481596,0.90247923455431434
Total Alkaloids,9792.75391472275,18.476296576217631
Total Alkaloids,9788.8969812859,-12.323106875916197
Total Alkaloids,9785.04004784905,-29.520629030782548
Total Alkaloids,9781.1831144122,-9.4478351420983149
Total Alkaloids,9777.32618097536,-9.6200931275407413
Total Alkaloids,9773.46924753851,-0.86556869694122074
Total Alkaloids,9769.61231410166,18.433361239293934
Total Alkaloids,9765.75538066482,17.465389949912122
Total Alkaloids,9761.89844722797,-3.2163394212687497
Total Alkaloids,9758.04151379112,-10.966447374317621
Total Alkaloids,9754.18458035428,-2.0289655230409158
Total Alkaloids,9750.32764691743,-0.70288036413107025
Total Alkaloids,9746.47071348058,-15.32790643755126
Total Alkaloids,9742.61378004373,-13.567692708615848
Total Alkaloids,9738.75684660688,2.8333591158243197
Total Alkaloids,9734.89991317004,1.4288438267051971
Total Alkaloids,9731.04297973319,-19.341081664050719
Total Alkaloids,9727.18604629634,-9.5498025960671011
Total Alkaloids,9723.3291128595,4.6009349226561094
Total Alkaloids,9719.47217942265,-4.1004300098652378
Total Alkaloids,9715.6152459858,-12.564801369320982
Total Alkaloids,9711.75831254896,-10.859913006985604
Total Alkaloids,9707.90137911211,-6.434729224583605
Total Alkaloids,9704.04444567526,-4.8646277430763432
Total Alkaloids,9700.18751223841,4.4293483412036538
Total Alkaloids,9696.33057880156,7.7636862145801722
Total Alkaloids,9692.47364536472,1.0595615100926208
Total Alkaloids,9688.61671192787,-9.1039714888808483
Total Alkaloids,9684.75977849102,-14.899761033978358
Total Alkaloids,9680.90284505418,-7.2658915159677058
Total Alkaloids,9677.04591161733,-4.5981094099181066
Total Alkaloids,9673.18897818048,-1.8422743905373871
Total Alkaloids,9669.33204474363,18.472240609865473
Total Alkaloids,9665.47511130679,26.392077147162851
Total Alkaloids,9661.61817786994,12.384308072660099
Total Alkaloids,9657.76124443309,12.699130071558903
Total Alkaloids,9653.90431099624,8.7257944931817359
Total Alkaloids,9650.0473775594,-3.4784496084267786
Total Alkaloids,9646.19044412255,-5.3976182312229
Total Alkaloids,9642.3335106857,5.7210211299415503
Total Alkaloids,9638.47657724886,9.1719086259246669
Total Alkaloids,9634.61964381201,5.5736685945879536
Total Alkaloids,9630.76271037516,-2.2510895485527964
Total Alkaloids,9626.90577693831,-3.7857019680489841
Total Alkaloids,9623.04884350147,8.1700721664215923
Total Alkaloids,9619.19191006462,9.5424700713152131
Total Alkaloids,9615.33497662777,-9.5575560771971251
Total Alkaloids,9611.47804319092,-12.502203542710967
Total Alkaloids,9607.62110975408,-10.272584750720947
Total Alkaloids,9603.76417631723,3.0872240437755365
Total Alkaloids,9599.90724288038,10.207541058920226
Total Alkaloids,9596.05030944354,5.7807190230380776
Total Alkaloids,9592.19337600669,3.0025271104388556
Total Alkaloids,9588.33644256984,-9.4560420422486704
Total Alkaloids,9584.47950913299,-13.043280166984047
Total Alkaloids,9580.62257569615,8.6422042189403125
Total Alkaloids,9576.7656422593,6.3932652380639743
Total Alkaloids,9572.90870882245,-11.043706587894219
Total Alkaloids,9569.0517753856,4.3226634148014682
Total Alkaloids,9565.19484194876,18.604548850483365
Total Alkaloids,9561.33790851191,19.805797463505574
Total Alkaloids,9557.48097507506,17.432104581017771
Total Alkaloids,9553.62404163822,5.0280822101643814
Total Alkaloids,9549.76710820137,8.3305098100355224
Total Alkaloids,9545.91017476452,9.9965156948357574
Total Alkaloids,9542.05324132767,6.539951119120035
Total Alkaloids,9538.19630789083,2.405489087135495
Total Alkaloids,9534.33937445398,17.171361582565424
Total Alkaloids,9530.48244101713,25.102995595639676
Total Alkaloids,9526.62550758028,10.227291073586674
Total Alkaloids,9522.76857414344,7.2929711805655906
Total Alkaloids,9518.91164070659,25.229276691638471
Total Alkaloids,9515.05470726974,44.033066933027833
Total Alkaloids,9511.1977738329,37.667813446774417
Total Alkaloids,9507.34084039605,17.52685291537151
Total Alkaloids,9503.4839069592,12.587288832663543
Total Alkaloids,9499.62697352235,6.5460195324137809
Total Alkaloids,9495.77004008551,-6.4694005529719627
Total Alkaloids,9491.91310664866,-17.056259285636031
Total Alkaloids,9488.05617321181,-2.1599734489330475
Total Alkaloids,9484.19923977496,15.108206813194576
Total Alkaloids,9480.34230633812,15.658800967106192
Total Alkaloids,9476.48537290127,23.389154897577296
Total Alkaloids,9472.62843946442,20.637496004645257
Total Alkaloids,9468.77150602758,6.5586316752357714
Total Alkaloids,9464.91457259073,-4.346100145583863
Total Alkaloids,9461.05763915388,6.2353374136528137
Total Alkaloids,9457.20070571703,5.9786653893368209
Total Alkaloids,9453.34377228019,12.094511058907004
Total Alkaloids,9449.48683884334,17.80143784752439
Total Alkaloids,9445.62990540649,11.699647196032636
Total Alkaloids,9441.77297196964,2.1823905935861858
Total Alkaloids,9437.9160385328,-2.8348449367353998
Total Alkaloids,9434.05910509595,8.0695154509475859
Total Alkaloids,9430.2021716591,11.678059918277588
Total Alkaloids,9426.34523822226,13.646968131271715
Total Alkaloids,9422.48830478541,3.3651586101181059
Total Alkaloids,9418.63137134856,-11.563935888304893
Total Alkaloids,9414.77443791171,-4.5865420970034609
Total Alkaloids,9410.91750447487,4.2342757173533281
Total Alkaloids,9407.06057103802,11.446305594016678
Total Alkaloids,9403.20363760117,7.2130534947456448
Total Alkaloids,9399.34670416432,-2.2332942089343564
Total Alkaloids,9395.48977072748,3.2551601491801856
Total Alkaloids,9391.63283729063,10.866362127167895
Total Alkaloids,9387.77590385378,4.9079914159554781
Total Alkaloids,9383.91897041694,5.6546955627819218
Total Alkaloids,9380.06203698009,5.5652724292154341
Total Alkaloids,9376.20510354324,2.1545008057484298
Total Alkaloids,9372.34817010639,3.9528994042149606
Total Alkaloids,9368.49123666955,8.1455146315914888
Total Alkaloids,9364.6343032327,8.5762056058844518
Total Alkaloids,9360.77736979585,10.176580115315064
Total Alkaloids,9356.920436359,3.0410568061467136
Total Alkaloids,9353.06350292216,4.8058926606198069
Total Alkaloids,9349.20656948531,24.959099010808071
Total Alkaloids,9345.34963604846,11.543715653823716
Total Alkaloids,9341.49270261162,-1.5764324437836248
Total Alkaloids,9337.63576917477,-5.6960326319817955
Total Alkaloids,9333.77883573792,-7.4413223625262956
Total Alkaloids,9329.92190230107,4.6657745651499534
Total Alkaloids,9326.06496886423,22.505747253882095
Total Alkaloids,9322.20803542738,27.417874031272238
Total Alkaloids,9318.35110199053,9.0245934482628112
Total Alkaloids,9314.49416855368,-2.5176900063093002
Total Alkaloids,9310.63723511684,4.474303788023259
Total Alkaloids,9306.78030167999,-8.6879913150989339
Total Alkaloids,9302.92336824314,-8.3423839591779281
Total Alkaloids,9299.0664348063,3.2930990531967419
Total Alkaloids,9295.20950136945,15.156984785473682
Total Alkaloids,9291.3525679326,28.725446450436948
Total Alkaloids,9287.49563449575,21.106988236394848
Total Alkaloids,9283.63870105891,8.5015410000095546
Total Alkaloids,9279.78176762206,-4.8760820839141399
Total Alkaloids,9275.92483418521,-8.9302822815873721
Total Alkaloids,9272.06790074836,-18.219221946045195
Total Alkaloids,9268.21096731152,-23.546920976466499
Total Alkaloids,9264.35403387467,-16.653635150810413
Total Alkaloids,9260.49710043782,-10.266060995101478
Total Alkaloids,9256.64016700098,-7.6008993615469143
Total Alkaloids,9252.78323356413,-0.85771938358500444
Total Alkaloids,9248.92630012728,1.4581206958069013
Total Alkaloids,9245.06936669043,-6.4144263200104783
Total Alkaloids,9241.21243325358,-14.854196799755808
Total Alkaloids,9237.35549981674,-12.156577228627402
Total Alkaloids,9233.49856637989,-8.8883659723840278
Total Alkaloids,9229.64163294304,9.6223123964401225
Total Alkaloids,9225.7846995062,20.819227127733498
Total Alkaloids,9221.92776606935,6.9223748449630289
Total Alkaloids,9218.0708326325,-3.7970181626193575
Total Alkaloids,9214.21389919565,-11.585891134441455
Total Alkaloids,9210.35696575881,-10.279359525856933
Total Alkaloids,9206.50003232196,-12.92278006294247
Total Alkaloids,9202.64309888511,-13.468088139973801
Total Alkaloids,9198.78616544826,-12.591341919575008
Total Alkaloids,9194.92923201142,-25.91592262801052
Total Alkaloids,9191.07229857457,-22.269878530661586
Total Alkaloids,9187.21536513772,-13.159014857756812
Total Alkaloids,9183.35843170088,-10.704900057654671
Total Alkaloids,9179.50149826403,-9.7613627294082832
Total Alkaloids,9175.64456482718,-6.0873767323745467
Total Alkaloids,9171.78763139033,-7.954979343989157
Total Alkaloids,9167.93069795349,-10.785113004467721
Total Alkaloids,9164.07376451664,-9.8662994132008297
Total Alkaloids,9160.21683107979,-12.629315306195695
Total Alkaloids,9156.35989764294,-15.692774812035319
Total Alkaloids,9152.5029642061,-14.128382767163265
Total Alkaloids,9148.64603076925,-20.861826905493228
Total Alkaloids,9144.7890973324,-25.927549603863298
Total Alkaloids,9140.93216389556,-17.211318266879317
Total Alkaloids,9137.07523045871,-13.733164665510307
Total Alkaloids,9133.21829702186,-13.569105426062002
Total Alkaloids,9129.36136358501,-9.1136016807581033
Total Alkaloids,9125.50443014817,-7.589421478604149
Total Alkaloids,9121.64749671132,-10.182072552094986
Total Alkaloids,9117.79056327447,-16.926908891788631
Total Alkaloids,9113.93362983762,-12.190431440661287
Total Alkaloids,9110.07669640078,-15.194137661634203
Total Alkaloids,9106.21976296393,-13.338635664633319
Total Alkaloids,9102.36282952708,-16.989021739677082
Total Alkaloids,9098.50589609024,-14.069940425975172
Total Alkaloids,9094.64896265339,-12.597560678263806
Total Alkaloids,9090.79202921654,1.1600787709572722
Total Alkaloids,9086.93509577969,15.338384061256887
Total Alkaloids,9083.07816234285,12.068109919808681
Total Alkaloids,9079.221228906,-5.3822075251676216
