response,component,q,dilation,weighted_q,component_sign
Total Alkaloids,1,0.032394934331925848,27.367768711813341,0.88657707023052801,-1
Reducing Sugars,1,0.19166801989069818,27.367768711813341,5.2455260378198663,-1
Total Sugars,1,0.18510795783886427,27.367768711813341,5.065991776850133,-1
Total Nitrogen,1,-0.040686156964874626,27.367768711813341,-1.1134893335872222,-1
K,1,-0.005386295079246024,27.367768711813341,-0.1474108779423835,-1
cl,1,-0.0029506607999324557,27.367768711813341,-0.080753002319565587,-1
pH,1,0.15535862547033044,27.367768711813341,4.2518189292572366,-1
Starch,1,-0.38734019487470439,27.367768711813341,-10.600636866119617,-1
Neochlorogenic Acid,1,0.45527027588601782,27.367768711813341,12.459731611811986,-1
Chlorogenic Acid,1,0.34963768493299907,27.367768711813341,9.5688032941801833,-1
Cryptochlorogenic Acid,1,0.50964189294786177,27.367768711813341,13.947761452047816,-1
Scopoletin,1,-0.15511939072394867,27.367768711813341,-4.2452716080504311,-1
Rutin,1,0.37252214974795311,27.367768711813341,10.195100034329474,-1
Total Alkaloids,2,-0.068291023675972631,19.055165413504771,-1.3012967524032291,-1
Reducing Sugars,2,0.28493265458117839,19.055165413504771,5.4294388647533722,-1
Total Sugars,2,0.1165566438878189,19.055165413504771,2.2210061293253589,-1
Total Nitrogen,2,0.27283678017010882,19.055165413504771,5.1989499770294616,-1
K,2,-0.37537824809663589,19.055165413504771,-7.1528946101130293,-1
cl,2,-0.37104866793858987,19.055165413504771,-7.0703937440304339,-1
pH,2,-0.64344339474942769,19.055165413504771,-12.260920321177391,-1
Starch,2,0.23373061300278405,19.055165413504771,4.4537754929679192,-1
Neochlorogenic Acid,2,0.18266438104283567,19.055165413504771,3.4806999959266989,-1
Chlorogenic Acid,2,-0.039240498501131836,19.055165413504771,-0.7477341898474531,-1
Cryptochlorogenic Acid,2,0.079946235885174563,19.055165413504771,1.5233887489790723,-1
Scopoletin,2,0.16232233111713595,19.055165413504771,3.0930788697427181,-1
Rutin,2,0.10603292474657033,19.055165413504771,2.020474920323601,-1
Total Alkaloids,3,0.013058318094834766,15.051537650683667,0.19654776645900929,1
Reducing Sugars,3,0.022337240579880315,15.051537650683667,0.3362098176004476,1
Total Sugars,3,0.076009973232010891,15.051537650683667,1.1440669739290696,1
Total Nitrogen,3,0.014870128462233597,15.051537650683667,0.2238182984198118,1
K,3,0.34962979941020483,15.051537650683667,5.2624660896236763,1
cl,3,-0.60319033208976003,15.051537650683667,-9.0789419939774074,1
pH,3,0.32456474498067228,15.051537650683667,4.8851984791611311,1
Starch,3,0.44236698707024824,15.051537650683667,6.6583033613073361,1
Neochlorogenic Acid,3,-0.081864374505843857,15.051537650683667,-1.232184715124377,1
Chlorogenic Acid,3,0.30174754461891434,15.051537650683667,4.5417645288329389,1
