response,component,loading
Total Alkaloids,1,-0.028513887280709343
Reducing Sugars,1,-0.17754251558300019
Total Sugars,1,-0.19133626425321254
Total Nitrogen,1,0.03415089147303281
K,1,-0.00696625292613805
cl,1,-0.01453085335539489
pH,1,-0.13922229369905459
Starch,1,0.37853669310428006
Neochlorogenic Acid,1,-0.46830238490042436
Chlorogenic Acid,1,-0.3626506495316682
Cryptochlorogenic Acid,1,-0.49530844445203431
Scopoletin,1,0.16556819371243972
Rutin,1,-0.38106463119200396
Total Alkaloids,2,-0.033522185903369361
Reducing Sugars,2,-0.21183159316699357
Total Sugars,2,-0.12096518071239343
Total Nitrogen,2,-0.20318034645299424
K,2,0.3629688864118284
cl,2,0.33791570824074102
pH,2,0.66621514921744907
Starch,2,-0.35941316015408942
Neochlorogenic Acid,2,-0.20044802244308818
Chlorogenic Acid,2,0.049772414486162417
Cryptochlorogenic Acid,2,-0.21882720484862705
Scopoletin,2,-0.20549480995444458
Rutin,2,-0.081740170840738507
Total Alkaloids,3,0.028658627347649124
Reducing Sugars,3,0.0012387093433456342
Total Sugars,3,0.056484297056934057
Total Nitrogen,3,-0.059510366455513497
K,3,0.31520283681831163
cl,3,-0.6108484128298205
pH,3,0.34359665780034049
Starch,3,0.46494449915814912
Neochlorogenic Acid,3,-0.062216094303889038
Chlorogenic Acid,3,0.26126958623317742
Cryptochlorogenic Acid,3,-0.1229990206022219
Scopoletin,3,0.071890076560661806
Rutin,3,0.33119116526852416
Total Alkaloids,4,-0.10838531498190289
Reducing Sugars,4,0.12350865904295133
Total Sugars,4,0.034610883063599399
Total Nitrogen,4,0.31174233461962292
K,4,0.39059657687649429
cl,4,0.47265933436026264
pH,4,-0.067380266684653689
Starch,4,0.12435429215945892
Neochlorogenic Acid,4,0.00041384863446569664
Chlorogenic Acid,4,0.27138377676454623
Cryptochlorogenic Acid,4,0.057116583858704606
Scopoletin,4,0.7047779705238153
Rutin,4,0.089634098145679478
Total Alkaloids,5,-0.00098694264534410561
Reducing Sugars,5,0.08230088787617168
Total Sugars,5,0.054741745966967778
Total Nitrogen,5,-0.14602358210565175
K,5,0.76102815879579411
cl,5,-0.13251357758030752
pH,5,-0.47000750399748542
Starch,5,-0.27156482005328614
Neochlorogenic Acid,5,0.006400943117016656
Chlorogenic Acid,5,-0.3281740529233152
Cryptochlorogenic Acid,5,0.0095665242639085615
Scopoletin,5,-0.099772632270469522
Rutin,5,0.083750206929661203
Total Alkaloids,6,0.33311299356253643
Reducing Sugars,6,0.19064628874648826
Total Sugars,6,0.22192479058168554
Total Nitrogen,6,0.2804031829557026
K,6,0.10592260870290415
cl,6,0.44180727630949612
pH,6,0.11961556029958109
Starch,6,0.4357635753879478
Neochlorogenic Acid,6,0.15601203652355858
Chlorogenic Acid,6,-0.4576402846757408
Cryptochlorogenic Acid,6,-0.03933991182484127
Scopoletin,6,-0.24627750428853656
Rutin,6,0.3916642366309373
Total Alkaloids,7,0.39884157972698153
Reducing Sugars,7,-0.47459091329200831
Total Sugars,7,-0.41048201600915313
Total Nitrogen,7,0.47501597370204046
K,7,-0.02051173559561692
cl,7,-0.23660487066313574
pH,7,0.05914532884432705
Starch,7,-0.25730697628722199
Neochlorogenic Acid,7,0.1405229735640916
Chlorogenic Acid,7,-0.15808690088094407
Cryptochlorogenic Acid,7,0.03713223471381244
Scopoletin,7,0.18552556020844096
Rutin,7,0.17406346525914312
Total Alkaloids,8,-0.59531238573813305
Reducing Sugars,8,-0.14045834945948149
Total Sugars,8,-0.16016306819132098
Total Nitrogen,8,0.13610870547222939
K,8,0.11365928556568436
cl,8,-0.093944370422529122
pH,8,0.24037936077513355
Starch,8,0.23277003041798672
Neochlorogenic Acid,8,0.45557410797313469
Chlorogenic Acid,8,-0.34070728766231129
Cryptochlorogenic Acid,8,0.27498710763995143
Scopoletin,8,-0.013927236585374633
Rutin,8,-0.25783087740324417
