Total Alkaloids,Reducing Sugars,Total Sugars,Total Nitrogen,K,cl,pH,Starch,Neochlorogenic Acid,Chlorogenic Acid,Cryptochlorogenic Acid,Scopoletin,Rutin
3.327212882,12.84335415,15.61604989,2.412586884,2.137245048,3.025999382,4.95,4.921536394,1.901508794,9.778084547,2.644503281,0.28581198,10.57787722
2.637426064,14.48668238,17.00847146,2.209486931,2.191028958,4.435640537,4.93,4.821930852,1.806490131,9.445028471,2.59709159,0.280022984,8.459204776
2.475901327,18.50151869,20.66633691,2.053691755,1.838669336,3.44944821,5.11,7.367775465,1.786024045,11.28460315,2.620401513,0.282282654,10.75606537
2.564193947,20.76779823,23.51358112,1.971490618,1.618034396,5.772480674,5.035,7.121109179,1.784264414,10.65703235,2.62596618,0.200412922,9.545334524
2.312274497,13.50274686,14.93592681,2.151816604,1.95979525,5.187806189,4.81,5.960115486,1.206994715,7.266761622,2.05228097,0.365968857,6.232285303
3.102492226,10.70460142,12.40420762,2.249933095,2.056219145,3.576657658,4.925,4.278924007,1.383632291,6.606165358,2.000337328,0.258842533,7.446422641
3.043598706,13.18366683,14.36901827,2.220827831,2.054715808,2.781194358,4.975,4.49640152,1.64016348,9.02995502,2.24781777,0.289247107,9.513497506
3.212026335,13.58290742,15.67692752,2.173805472,1.967048117,3.033080969,5.005,5.730396596,1.493729016,7.832422594,1.97469564,0.27646529,9.431343076
3.363050664,12.80741293,13.76075655,2.65721432,2.10902051,6.19509471,4.65,3.658797154,1.381464713,8.076326878,2.281389818,0.499752123,6.392072744
3.28182772,14.69315347,16.86445213,2.453128786,1.891845161,4.118425415,4.76,3.670757524,1.559119648,9.439402597,2.437325267,0.433589595,7.723151949
3.36654559,12.98756264,14.6629702,2.634624771,2.013822104,6.145693547,4.75,3.807817972,1.335931607,7.973220599,2.197919708,0.452761322,6.749161377
3.569703466,13.78057059,16.18109941,2.547870566,2.047833191,4.545102454,4.885,3.268482459,1.691120242,10.21945742,2.589954465,0.349259676,8.395896954
3.518377401,15.36351837,17.1585106,2.496972759,2.147247421,4.351081179,4.695,4.039248766,1.536782775,9.550743343,2.40419205,0.333458377,7.557323376
